"time1_size_s_fq","rec_serv_s_fq","env_car_s_fq","time2_delay_s_fq","delay_rtt_s_fq","ncars_s_fq"
239,360609.454545455,497880.727272727,239,5.36818181818182,11
240,397650.909090909,494612.363636364,240,3.14454545454545,11
241,441229.090909091,500059.636363636,241,2.31818181818182,11
242,454302.545454545,494612.363636364,242,6.11818181818182,11
243,410724.363636364,496791.272727273,243,4.93636363636364,11
244,429245.090909091,497880.727272727,244,5.80181818181818,11
245,463018.181818182,494612.363636364,245,9.2,11
246,481538.909090909,494612.363636364,246,6.10272727272727,11
247,429245.090909091,498970.181818182,247,3.86090909090909,11
248,417261.090909091,492433.454545455,248,3.39636363636364,11
249,428155.636363636,500059.636363636,249,2.98909090909091,11
250,486986.181818182,493522.909090909,250,6.56181818181818,11
251,465197.090909091,497880.727272727,251,8.01090909090909,11
252,466286.545454545,495701.818181818,252,5.00090909090909,11
253,451034.181818182,493522.909090909,253,10.2759090909091,11
254,470644.363636364,496791.272727273,254,6.66636363636364,11
255,420529.454545455,496791.272727273,255,5.426,11
256,409634.909090909,494612.363636364,256,3.14972727272727,11
257,430334.545454545,497880.727272727,257,2.91618181818182,11
258,417261.090909091,492433.454545455,258,3.49554545454545,11
259,492433.454545455,494612.363636364,259,4.73454545454545,11
260,451034.181818182,498970.181818182,260,6.27727272727273,11
261,460839.272727273,496791.272727273,261,8.29727272727273,11
262,446676.363636364,497880.727272727,262,4.35181818181818,11
263,458660.363636364,492433.454545455,263,9.56545454545454,11
264,422708.363636364,498970.181818182,264,4.81272727272727,11
265,475002.181818182,494612.363636364,265,6.47545454545455,11
266,419440,494612.363636364,266,8.26181818181818,11
267,427066.181818182,496791.272727273,267,6.04454545454545,11
268,452123.636363636,495701.818181818,268,6.02354545454545,11
269,415082.181818182,496791.272727273,269,3.82363636363636,11
270,480449.454545455,498970.181818182,270,3.80636363636364,11
271,481538.909090909,497880.727272727,271,6.49845454545455,11
272,425976.727272727,493522.909090909,272,2.96863636363636,11
273,489165.090909091,498970.181818182,273,5.81,11
274,469554.909090909,494612.363636364,274,4.36463636363636,11
275,440139.636363636,498970.181818182,275,11.1845454545455,11
276,458660.363636364,494612.363636364,276,6.36,11
277,402008.727272727,493522.909090909,277,3.83627272727273,11
278,481538.909090909,495701.818181818,278,4.10181818181818,11
279,481538.909090909,497880.727272727,279,11.5,11
280,473912.727272727,496791.272727273,280,2.7,11
281,472823.272727273,497880.727272727,281,3.00545454545455,11
282,493522.909090909,495701.818181818,282,5.93818181818182,11
283,490254.545454545,494612.363636364,283,2.90009090909091,11
284,490254.545454545,495701.818181818,284,7.20454545454545,11
285,496791.272727273,497880.727272727,285,4.54454545454545,11
286,470644.363636364,495701.818181818,286,7.79781818181818,11
287,444497.454545455,495701.818181818,287,18.7209090909091,11
288,442318.545454545,495701.818181818,288,2.07454545454545,11
289,491344,496791.272727273,289,6.21245454545455,11
290,482628.363636364,495701.818181818,290,6.24454545454545,11
291,500059.636363636,494612.363636364,291,26.8507272727273,11
292,494612.363636364,495701.818181818,292,3.45090909090909,11
293,481538.909090909,494612.363636364,293,6.58,11
294,468465.454545455,497880.727272727,294,7.80909090909091,11
295,454302.545454545,494612.363636364,295,7.51118181818182,11
296,478270.545454545,496791.272727273,296,5.35727272727273,11
297,446676.363636364,493522.909090909,297,7.10363636363636,11
298,465197.090909091,496791.272727273,298,2.37227272727273,11
299,491344,495701.818181818,299,5.80909090909091,11
300,496791.272727273,495701.818181818,300,4.68063636363636,11
301,493522.909090909,495701.818181818,301,3.00018181818182,11
302,470644.363636364,497880.727272727,302,7.99636363636364,11
303,493522.909090909,495701.818181818,303,3.52827272727273,11
304,491344,496791.272727273,304,1.74472727272727,11
305,478270.545454545,496791.272727273,305,4.14981818181818,11
306,424887.272727273,496791.272727273,306,1.84181818181818,11
307,433602.909090909,495701.818181818,307,3.16018181818182,11
308,459749.818181818,501149.090909091,308,4.96354545454545,11
309,489165.090909091,492433.454545455,309,6.22545454545455,11
310,491344,496791.272727273,310,4.59154545454545,11
311,493522.909090909,494612.363636364,311,7.86936363636364,11
312,482628.363636364,498970.181818182,312,3.71718181818182,11
313,491344,496791.272727273,313,6.31872727272727,11
314,477181.090909091,494612.363636364,314,6.59618181818182,11
315,435781.818181818,494612.363636364,315,4.89454545454545,11
316,432513.454545455,498970.181818182,316,10.79,11
317,481538.909090909,493522.909090909,317,5.78754545454546,11
318,476091.636363636,497880.727272727,318,10.6245454545455,11
319,434692.363636364,495701.818181818,319,5.53054545454545,11
320,403098.181818182,496791.272727273,320,5.095,11
321,471733.818181818,495701.818181818,321,9.19090909090909,11
322,497880.727272727,494612.363636364,322,6.61545454545455,11
323,484807.272727273,495701.818181818,323,3.48345454545455,11
324,479360,495701.818181818,324,12.8313636363636,11
325,482628.363636364,496791.272727273,325,4.35345454545455,11
326,486986.181818182,498970.181818182,326,5.59,11
327,466286.545454545,494612.363636364,327,11.3662727272727,11
328,409634.909090909,497880.727272727,328,4.84272727272727,11
329,447765.818181818,495701.818181818,329,7.74909090909091,11
330,495701.818181818,498970.181818182,330,3.916,11
331,490254.545454545,491344,331,3.85354545454545,11
332,494612.363636364,500059.636363636,332,3.60636363636364,11
333,486986.181818182,495701.818181818,333,3.24318181818182,11
334,534922.181818182,496791.272727273,334,13.2357272727273,11
335,587216,495701.818181818,335,7.52345454545454,11
336,620989.090909091,497880.727272727,336,3.52145454545455,11
337,634062.545454545,495701.818181818,337,7.02454545454545,11
338,640599.272727273,494612.363636364,338,8.81636363636364,11
339,661298.909090909,497880.727272727,339,2.42372727272727,11
340,650404.363636364,495701.818181818,340,4.66436363636364,11
341,625346.909090909,494612.363636364,341,5.18454545454545,11
342,632973.090909091,495701.818181818,342,5.69945454545455,11
343,579589.818181818,495701.818181818,343,3.76090909090909,11
344,451397.333333333,488148.266666667,344,4.00666666666667,15
345,460185.6,495338.666666667,345,4.4898,15
346,447402.666666667,496936.533333333,346,6.52293333333333,15
347,479360,497735.466666667,347,3.33646666666667,15
348,470571.733333333,494539.733333333,348,3.58206666666667,15
349,438614.4,496936.533333333,349,1.77533333333333,15
350,421836.8,496137.6,350,2.238,15
351,393075.2,496936.533333333,351,14.0623333333333,15
352,435418.666666667,496936.533333333,352,2.006,15
353,391477.333333333,496936.533333333,353,3.78066666666667,15
354,401863.466666667,491344,354,5.832,15
355,409053.866666667,497735.466666667,355,5.37666666666667,15
356,420238.933333333,493740.8,356,11.048,15
357,373101.866666667,498534.4,357,72.8133333333333,15
358,372302.933333333,495338.666666667,358,65.4946666666667,15
359,413048.533333333,496137.6,359,37.3733333333333,15
360,449000.533333333,497735.466666667,360,59.1333333333333,15
361,381091.2,495338.666666667,361,125.965333333333,15
362,362715.733333333,496137.6,362,11.74,15
363,342742.4,494539.733333333,363,7.21666666666667,15
364,389879.466666667,496936.533333333,364,8.456,15
365,372302.933333333,496137.6,365,70.2213333333333,15
366,346737.066666667,494539.733333333,366,6.056,15
367,425831.466666667,499333.333333333,367,30.6853333333333,15
368,417842.133333333,494539.733333333,368,80.7706666666667,15
369,366710.4,496137.6,369,25.3826666666667,15
370,337948.8,496137.6,370,114.7,15
371,306790.4,495338.666666667,371,219.568666666667,15
372,357123.2,496936.533333333,373,11.7333333333333,15
373,424233.6,495338.666666667,374,43.246,15
374,286817.066666667,495338.666666667,375,33.4866666666667,15
375,362715.733333333,492941.866666667,376,69.5606666666667,15
376,410651.733333333,497735.466666667,377,10.724,15
377,388281.6,495338.666666667,378,9.21066666666667,15
378,377096.533333333,497735.466666667,379,5.05133333333333,15
379,378694.4,494539.733333333,380,8.09666666666667,15
380,381890.133333333,497735.466666667,381,22.7066666666667,15
381,369107.2,495338.666666667,382,23.88,15
382,330758.4,497735.466666667,383,12.302,15
383,369906.133333333,496137.6,384,15.2406666666667,15
384,416244.266666667,492941.866666667,385,17.3673333333333,15
385,384286.933333333,496936.533333333,386,5.276,15
386,336350.933333333,496137.6,387,7.78266666666667,15
387,417043.2,495338.666666667,388,47.1433333333333,15
388,428228.266666667,495338.666666667,389,46.3333333333333,15
389,350731.733333333,496137.6,390,1.38666666666667,15
390,335552,497735.466666667,391,2.092,15
391,355525.333333333,492941.866666667,392,1.47933333333333,15
392,437815.466666667,496137.6,393,20.1973333333333,15
393,414646.4,496936.533333333,394,9.43266666666667,15
394,361916.8,494539.733333333,395,13.2273333333333,15
395,396270.933333333,494539.733333333,396,50.5066666666667,15
396,430625.066666667,497735.466666667,397,71.684,15
397,422635.733333333,493740.8,398,8.85533333333333,15
398,431424,497735.466666667,399,14.304,15
399,449000.533333333,496137.6,400,57.2393333333333,15
400,436217.6,496137.6,401,61.52,15
401,420238.933333333,494539.733333333,402,16.336,15
402,377096.533333333,496936.533333333,403,10.376,15
403,384286.933333333,494539.733333333,404,54.0266666666667,15
404,420238.933333333,497735.466666667,405,41.0553333333333,15
