"time1_size_s_fn","rec_serv_s_fn","env_car_s_fn","time2_delay_s_fn","delay_rtt_s_fn","ncars_s_fn"
277,483717.818181818,495701.818181818,278,4.34781818181818,11
278,442318.545454545,493522.909090909,279,4.85545454545455,11
279,471733.818181818,495701.818181818,280,6.16181818181818,11
280,459749.818181818,493522.909090909,281,8.79454545454545,11
281,498970.181818182,497880.727272727,282,3.73618181818182,11
282,475002.181818182,494612.363636364,283,5.35390909090909,11
283,478270.545454545,497880.727272727,284,6.33209090909091,11
284,488075.636363636,493522.909090909,285,6.25945454545455,11
285,468465.454545455,498970.181818182,286,5.81181818181818,11
286,454302.545454545,495701.818181818,287,4.23272727272727,11
287,476091.636363636,498970.181818182,288,6.98181818181818,11
288,465197.090909091,493522.909090909,289,6.63,11
289,446676.363636364,495701.818181818,290,5.59545454545454,11
290,481538.909090909,497880.727272727,291,8.51136363636364,11
291,493522.909090909,493522.909090909,292,5.50881818181818,11
292,491344,498970.181818182,293,4.09963636363636,11
293,497880.727272727,495701.818181818,294,4.86090909090909,11
294,445586.909090909,500059.636363636,295,8.57363636363636,11
295,483717.818181818,495701.818181818,296,5.27109090909091,11
296,486986.181818182,494612.363636364,297,8.75636363636364,11
297,476091.636363636,495701.818181818,298,6.23636363636364,11
298,496791.272727273,492433.454545455,299,8.46190909090909,11
299,493522.909090909,493522.909090909,300,10.9727272727273,11
300,494612.363636364,494612.363636364,301,6.04509090909091,11
301,496791.272727273,496791.272727273,302,3.89581818181818,11
302,477181.090909091,495701.818181818,303,3.53118181818182,11
303,464107.636363636,497880.727272727,304,2.59,11
304,475002.181818182,496791.272727273,305,4.234,11
305,490254.545454545,495701.818181818,306,2.19581818181818,11
306,496791.272727273,500059.636363636,307,3.59145454545455,11
307,463018.181818182,492433.454545455,308,3.105,11
308,494612.363636364,496791.272727273,309,4.16881818181818,11
309,484807.272727273,494612.363636364,310,6.86790909090909,11
310,451034.181818182,495701.818181818,311,5.44181818181818,11
311,458660.363636364,496791.272727273,312,6.55909090909091,11
312,468465.454545455,495701.818181818,313,8.99545454545455,11
313,529474.909090909,494612.363636364,314,8.73381818181818,11
314,587216,495701.818181818,315,2.81636363636364,11
315,599200,496791.272727273,316,8.09981818181818,11
316,629704.727272727,495701.818181818,317,3.49972727272727,11
317,610094.545454545,498970.181818182,318,6.15272727272727,11
318,567605.818181818,495701.818181818,319,10.0172727272727,11
319,448017.230769231,434189.538461538,320,4.44415384615385,13
320,426630.4,496137.6,321,4.24533333333333,15
321,421836.8,495338.666666667,322,3.4284,15
322,343541.333333333,496137.6,323,2.47606666666667,15
323,459386.666666667,497735.466666667,324,4.27,15
324,441810.133333333,492941.866666667,325,2.3108,15
325,437016.533333333,499333.333333333,326,4.668,15
326,413048.533333333,493740.8,327,4.88466666666667,15
327,368308.266666667,494539.733333333,328,3.652,15
328,425831.466666667,494539.733333333,329,5.97266666666667,15
329,355525.333333333,494539.733333333,330,3.27073333333333,15
330,332356.266666667,495338.666666667,331,3.996,15
331,409053.866666667,496936.533333333,332,3.70906666666667,15
332,370705.066666667,495338.666666667,333,24.9473333333333,15
333,417043.2,496137.6,334,47.7333333333333,15
334,353128.533333333,497735.466666667,335,248.733333333333,15
