"time1_size_e_fn","rec_serv_e_fn","env_car_e_fn","time2_delay_e_fn","delay_rtt_e_fn","ncars_e_fn"
330,177363.2,495338.666666667,343,697.266666666667,15
331,213315.2,498534.4,344,594.866666666667,15
332,224500.266666667,492142.933333333,345,458.8,15
333,254060.8,496137.6,346,154.933333333333,15
334,274833.066666667,496137.6,347,1292.93333333333,15
335,228494.933333333,495338.666666667,348,1219.2,15
336,274034.133333333,497735.466666667,349,938.8,15
337,258055.466666667,494539.733333333,350,462.4,15
338,254060.8,495338.666666667,351,892.6,15
339,257256.533333333,496137.6,352,917.533333333333,15
340,254859.733333333,498534.4,353,779.333333333333,15
341,251664,495338.666666667,354,1069.93333333333,15
342,258055.466666667,496936.533333333,355,1171.73333333333,15
343,248468.266666667,495338.666666667,356,441.733333333333,15
344,281224.533333333,496936.533333333,357,745.733333333333,15
345,282822.4,494539.733333333,358,586.8,15
346,266044.8,497735.466666667,359,1064.8,15
347,259653.333333333,496137.6,360,462.466666666667,15
348,258854.4,494539.733333333,361,613.333333333333,15
349,270838.4,497735.466666667,362,450.133333333333,15
350,259653.333333333,495338.666666667,363,1998.06666666667,15
351,260452.266666667,498534.4,364,1437.33333333333,15
352,254060.8,492941.866666667,365,1141,15
353,259653.333333333,496936.533333333,366,708.266666666667,15
354,258854.4,493740.8,367,1764.93333333333,15
355,254060.8,494539.733333333,368,507.933333333333,15
356,258854.4,496137.6,369,343.866666666667,15
357,266843.733333333,494539.733333333,370,470.8,15
358,257256.533333333,496137.6,371,680.133333333333,15
359,271637.333333333,495338.666666667,372,116.266666666667,15
360,246071.466666667,496936.533333333,373,326.866666666667,15
361,262050.133333333,493740.8,374,227.533333333333,15
362,271637.333333333,491344,375,426.4,15
363,245272.533333333,495338.666666667,376,566.866666666667,15
364,264446.933333333,494539.733333333,377,746,15
365,261251.2,494539.733333333,378,355.266666666667,15
366,272436.266666667,496936.533333333,379,227.4,15
367,240478.933333333,496137.6,380,690.533333333333,15
368,255658.666666667,497735.466666667,381,268.333333333333,15
369,269240.533333333,493740.8,382,578.466666666667,15
370,259653.333333333,496936.533333333,383,1265.53333333333,15
371,246071.466666667,496137.6,384,348,15
372,266044.8,493740.8,385,790.866666666667,15
373,238881.066666667,496936.533333333,386,451.266666666667,15
374,265245.866666667,494539.733333333,387,483.4,15
375,277229.866666667,496137.6,388,305.2,15
376,260452.266666667,495338.666666667,389,153.533333333333,15
377,263648,494539.733333333,390,308.4,15
378,250066.133333333,496936.533333333,391,623.066666666667,15
379,263648,492941.866666667,392,606.266666666667,15
380,305192.533333333,496936.533333333,393,268.666666666667,15
381,288414.933333333,497735.466666667,394,660.2,15
382,257256.533333333,492142.933333333,395,737,15
383,244473.6,496137.6,396,770.4,15
384,263648,491344,397,802.133333333333,15
385,246870.4,496137.6,398,323.733333333333,15
386,235685.333333333,496137.6,399,831.266666666667,15
387,250865.066666667,496137.6,400,509.066666666667,15
388,249267.2,492941.866666667,401,257,15
389,238082.133333333,495338.666666667,402,796.133333333333,15
390,230891.733333333,492941.866666667,403,881.2,15
391,268441.6,496137.6,404,151.6,15
392,264446.933333333,496936.533333333,405,599.866666666667,15
393,251664,492941.866666667,406,607.666666666667,15
394,238881.066666667,496936.533333333,407,1066.6,15
395,262050.133333333,492142.933333333,408,466.6,15
396,268441.6,496936.533333333,409,303.133333333333,15
397,236484.266666667,496936.533333333,410,291.066666666667,15
398,242875.733333333,492941.866666667,411,524.533333333333,15
399,259653.333333333,494539.733333333,412,386.933333333333,15
400,273235.2,497735.466666667,413,532.2,15
401,251664,494539.733333333,414,629.466666666667,15
402,246870.4,495338.666666667,415,297.4,15
403,240478.933333333,498534.4,416,610.4,15
404,240478.933333333,493740.8,417,468.2,15
405,250066.133333333,497735.466666667,418,423,15
406,273235.2,493740.8,419,732.733333333333,15
407,264446.933333333,497735.466666667,420,460.933333333333,15
408,246071.466666667,495338.666666667,421,958.133333333333,15
409,276430.933333333,496137.6,422,961.733333333333,15
410,258854.4,498534.4,423,530.066666666667,15
411,235685.333333333,495338.666666667,424,331.2,15
412,245272.533333333,494539.733333333,425,397.333333333333,15
413,249267.2,494539.733333333,426,809.133333333333,15
414,241277.866666667,492941.866666667,427,567.066666666667,15
415,240478.933333333,491344,428,508.666666666667,15
416,227696,493740.8,429,741.2,15
417,241277.866666667,495338.666666667,430,440.133333333333,15
418,246870.4,496936.533333333,431,155.4,15
419,262050.133333333,493740.8,432,1076.06666666667,15
420,250865.066666667,495338.666666667,433,1213.86666666667,15
421,245272.533333333,496137.6,434,962.066666666667,15
422,258055.466666667,496936.533333333,435,759.733333333333,15
423,247669.333333333,492941.866666667,436,941.266666666667,15
424,245272.533333333,498534.4,437,1415.4,15
425,280425.6,496137.6,438,455.666666666667,15
426,257256.533333333,494539.733333333,440,305.866666666667,15
427,237283.2,492142.933333333,441,217.666666666667,15
428,223701.333333333,495338.666666667,443,391.333333333333,15
429,251664,496936.533333333,444,85.66,15
430,234087.466666667,492941.866666667,445,196.92,15
431,241277.866666667,496936.533333333,446,476.08,15
432,257256.533333333,496936.533333333,447,380.933333333333,15
433,262050.133333333,496137.6,448,557.333333333333,15
434,254859.733333333,492142.933333333,449,278.8,15
435,244473.6,498534.4,450,719.266666666667,15
436,248468.266666667,496137.6,451,678.333333333333,15
437,227696,496936.533333333,452,459.266666666667,15
438,281224.533333333,493740.8,453,1006.06666666667,15
439,294007.466666667,493740.8,454,903.733333333333,15
440,288414.933333333,496137.6,455,454.6,15
441,267642.666666667,495338.666666667,456,659.6,15
442,276430.933333333,496936.533333333,457,563.6,15
443,252462.933333333,496137.6,458,539.533333333333,15
444,208521.6,492142.933333333,459,1411.8,15
445,226897.066666667,492142.933333333,460,732.066666666667,15
446,269240.533333333,495338.666666667,461,1345.66666666667,15
447,258854.4,490545.066666667,462,456.8,15
448,263648,498534.4,463,1233.73333333333,15
449,278028.8,493740.8,464,963.066666666667,15
450,265245.866666667,493740.8,465,1067.73333333333,15
