"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
278,279989.818181818,494612.363636364,283,6144.63636363636,11
279,287616,498970.181818182,284,2734.63636363636,11
280,282168.727272727,493522.909090909,285,2051.54545454545,11
281,281079.272727273,497880.727272727,286,1374.63636363636,11
282,283258.181818182,494612.363636364,287,4810.63636363636,11
283,283258.181818182,497880.727272727,288,2745.45454545455,11
284,284347.636363636,496791.272727273,289,4115.54545454545,11
285,282168.727272727,496791.272727273,290,4795.54545454545,11
286,286526.545454545,496791.272727273,291,3441.90909090909,11
287,281079.272727273,495701.818181818,292,1375.45454545455,11
288,287616,497880.727272727,293,2743.27272727273,11
289,278900.363636364,492433.454545455,294,4796.45454545455,11
290,287616,498970.181818182,295,3427.27272727273,11
291,277810.909090909,494612.363636364,296,5475.90909090909,11
292,286526.545454545,498970.181818182,297,4789.27272727273,11
293,279989.818181818,495701.818181818,298,1374.54545454545,11
294,287616,494612.363636364,299,6851.81818181818,11
295,278900.363636364,501149.090909091,300,2051.45454545455,11
296,286526.545454545,492433.454545455,301,3411.81818181818,11
297,282168.727272727,500059.636363636,302,2734,11
298,285437.090909091,495701.818181818,303,2728.63636363636,11
299,282168.727272727,496791.272727273,304,3419.81818181818,11
300,276721.454545455,496791.272727273,305,1372.90909090909,11
301,285437.090909091,495701.818181818,306,2060.27272727273,11
302,283258.181818182,496791.272727273,307,2061,11
303,283258.181818182,495701.818181818,308,2062.27272727273,11
304,282168.727272727,494612.363636364,309,5492.27272727273,11
305,287616,495701.818181818,310,2744.63636363636,11
306,279989.818181818,494612.363636364,311,4806,11
307,287616,495701.818181818,312,3431.72727272727,11
308,277810.909090909,496791.272727273,313,3431.54545454545,11
309,288705.454545455,494612.363636364,314,2740.81818181818,11
310,278900.363636364,495701.818181818,315,1369.54545454545,11
311,284347.636363636,497880.727272727,316,1371.90909090909,11
312,279989.818181818,495701.818181818,317,2748,11
313,286526.545454545,496791.272727273,318,2745.54545454545,11
314,281079.272727273,495701.818181818,319,6869.09090909091,11
315,285437.090909091,494612.363636364,320,4804.54545454545,11
316,283258.181818182,496791.272727273,321,2743.18181818182,11
317,285437.090909091,495701.818181818,322,4794.09090909091,11
318,284347.636363636,496791.272727273,323,4763.09090909091,11
319,281079.272727273,492433.454545455,324,4074.63636363636,11
320,286526.545454545,493522.909090909,325,2727.72727272727,11
321,279989.818181818,494612.363636364,326,1362.54545454545,11
322,286526.545454545,494612.363636364,327,4097.27272727273,11
323,278900.363636364,497880.727272727,328,2733.72727272727,11
324,289794.909090909,492433.454545455,329,684.818181818182,11
325,277810.909090909,497880.727272727,330,1372.36363636364,11
326,286526.545454545,493522.909090909,331,2749.27272727273,11
327,276721.454545455,497880.727272727,332,4131.18181818182,11
328,286526.545454545,495701.818181818,333,3436.63636363636,11
329,279989.818181818,494612.363636364,334,2747.27272727273,11
330,286526.545454545,500059.636363636,335,4122.81818181818,11
331,282168.727272727,491344,336,4809.63636363636,11
332,283258.181818182,500059.636363636,337,5480.81818181818,11
333,287616,495701.818181818,338,2737.18181818182,11
334,279989.818181818,495701.818181818,339,2054.09090909091,11
335,286526.545454545,493522.909090909,340,3424,11
336,278900.363636364,495701.818181818,341,3425.45454545455,11
337,288705.454545455,494612.363636364,342,3426.81818181818,11
338,278900.363636364,495701.818181818,343,2055.18181818182,11
339,286526.545454545,496791.272727273,344,4115.36363636364,11
340,279989.818181818,500059.636363636,345,6171.27272727273,11
341,285437.090909091,493522.909090909,346,2740.81818181818,11
342,278900.363636364,495701.818181818,347,4790.27272727273,11
343,287616,496791.272727273,348,4106.09090909091,11
344,204526.933333333,488148.266666667,349,3015.33333333333,15
345,209320.533333333,495338.666666667,350,4005.86666666667,15
346,202929.066666667,496137.6,351,3503.33333333333,15
347,208521.6,496137.6,352,1002.46666666667,15
348,209320.533333333,496137.6,353,2001.6,15
349,206124.8,492941.866666667,354,3006.8,15
350,210918.4,497735.466666667,355,3009.34933333333,15
351,205325.866666667,495338.666666667,356,2008.23333333333,15
352,210119.466666667,496936.533333333,357,2526.87333333333,15
353,205325.866666667,495338.666666667,358,3050.72666666667,15
354,222902.4,496137.6,359,1024.26666666667,15
355,253261.866666667,498534.4,360,2047.1,15
356,285219.2,496936.533333333,361,4049.46666666667,15
357,305192.533333333,496137.6,362,1512.73333333333,15
358,317176.533333333,496936.533333333,363,1550.73333333333,15
359,303594.666666667,495338.666666667,364,1551,15
360,313181.866666667,496137.6,365,2115.66666666667,15
361,309187.2,494539.733333333,366,4572.33333333333,15
362,312382.933333333,500132.266666667,367,2026.79333333333,15
363,316377.6,495338.666666667,368,3100.13333333333,15
364,319573.333333333,500931.2,369,1089.93333333333,15
365,313181.866666667,492941.866666667,370,2697.4,15
366,316377.6,495338.666666667,371,2657.93333333333,15
367,312382.933333333,497735.466666667,372,1536.46666666667,15
