"time1_size_e_fs","rec_serv_e_fs","env_car_e_fs","time2_delay_e_fs","delay_rtt_e_fs","ncars_e_fs"
323,424887.272727273,496791.272727273,324,2575.5,11
324,440139.636363636,492433.454545455,325,2640.98181818182,11
325,456481.454545455,497880.727272727,326,2395.44,11
326,431424,494612.363636364,327,2307.66818181818,11
327,440139.636363636,497880.727272727,328,2010.97272727273,11
328,493522.909090909,498970.181818182,329,4293.81818181818,11
329,497880.727272727,496791.272727273,330,2626.45454545455,11
330,447765.818181818,496791.272727273,331,2984.27272727273,11
331,418441.333333333,460385.333333333,332,2011.59583333333,12
332,393760,490488,333,1728.24285714286,14
333,393760,497336,334,1610.85714285714,14
334,345824,496480,335,2398.38857142857,14
335,338976,497336,336,2258.37857142857,14
336,333840,496480,337,1200.45,14
337,351816,492200,338,2049.18357142857,14
338,339832,498192,339,2347.86785714286,14
339,341544,494768,340,1986.85714285714,14
340,350104,495624,341,2222.39642857143,14
341,366368,497336,342,1978.99,14
342,355240,496480,343,2415.62357142857,14
343,420296,495624,344,1693.57142857143,14
344,387482.666666667,496936.533333333,345,2008,15
345,429027.2,492941.866666667,346,2000.2,15
346,438614.4,496936.533333333,347,1932.66666666667,15
347,417842.133333333,496137.6,348,1917.13333333333,15
348,413847.466666667,498534.4,349,1455.46666666667,15
349,402662.4,494539.733333333,350,1246.4,15
350,427429.333333333,496137.6,351,1144.33333333333,15
351,399466.666666667,496137.6,352,1431.2,15
352,425831.466666667,496936.533333333,353,1664.4,15
353,385085.866666667,492142.933333333,354,1285.6,15
354,393874.133333333,496936.533333333,355,1496.13333333333,15
355,432222.933333333,493740.8,356,1488.13333333333,15
356,389879.466666667,494539.733333333,357,967.533333333333,15
357,442609.066666667,496137.6,358,1758,15
358,425831.466666667,496137.6,359,1496.66666666667,15
359,379493.333333333,494539.733333333,360,1455.1,15
360,383488,496137.6,361,1494.50666666667,15
361,393075.2,495338.666666667,362,1580.59333333333,15
362,386683.733333333,499333.333333333,363,1279.98,15
363,394673.066666667,492142.933333333,364,1241.54,15
364,384286.933333333,499333.333333333,365,1328.96666666667,15
365,388281.6,495338.666666667,366,1378.66733333333,15
366,389080.533333333,495338.666666667,367,1090.84,15
367,391477.333333333,496936.533333333,368,1837.26666666667,15
368,396270.933333333,495338.666666667,369,1621.36,15
369,393874.133333333,497735.466666667,370,1665.69333333333,15
370,401863.466666667,493740.8,371,1338.66666666667,15
371,405059.2,497735.466666667,372,1825.86666666667,15
372,393874.133333333,495338.666666667,373,2211.66666666667,15
373,419440,496936.533333333,374,843.866666666667,15
374,393874.133333333,496137.6,375,2473.06666666667,15
375,399466.666666667,497735.466666667,376,1297,15
376,411450.666666667,495338.666666667,377,1779.4,15
377,392276.266666667,498534.4,378,2611.06666666667,15
