"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
269,833432.727272727,983777.454545455,270,13.4290909090909,11
270,827985.454545455,987045.818181818,271,8.02454545454545,11
271,818180.363636364,990314.181818182,272,3403.63090909091,11
272,834522.181818182,984866.909090909,273,10.5663636363636,11
273,833432.727272727,987045.818181818,274,3392.61518181818,11
274,834522.181818182,985956.363636364,275,10100.5043636364,11
275,807285.818181818,987045.818181818,276,3350.22181818182,11
276,820359.272727273,991403.636363636,277,3339.27909090909,11
277,842148.363636364,982688,278,14.4909090909091,11
278,837790.545454545,983777.454545455,279,12.3441818181818,11
279,827985.454545455,987045.818181818,280,11.4463636363636,11
280,811643.636363636,983777.454545455,281,13.2490909090909,11
281,599200,993582.545454545,282,3368.56181818182,11
282,787675.636363636,988135.272727273,283,3326.71818181818,11
283,580679.272727273,977240.727272727,284,9.02727272727273,11
284,725576.727272727,981598.545454545,285,9.29272727272727,11
285,802928,988135.272727273,286,3255.51454545455,11
286,757170.909090909,985956.363636364,287,10.3781818181818,11
287,739739.636363636,987045.818181818,288,3241.73,11
288,780049.454545455,981598.545454545,289,11.9909090909091,11
289,711413.818181818,984866.909090909,290,3208.54545454545,11
290,731024,988135.272727273,291,17.6972727272727,11
291,807285.818181818,985956.363636364,292,10.5154545454545,11
292,819269.818181818,984866.909090909,293,16.0609090909091,11
293,822538.181818182,992493.090909091,294,14.26,11
294,709234.909090909,981598.545454545,295,10.9545454545455,11
295,772423.272727273,988135.272727273,296,12.2490909090909,11
296,833432.727272727,983777.454545455,297,3221.38481818182,11
297,810554.181818182,980509.090909091,298,18.2545454545455,11
298,753902.545454545,990314.181818182,299,11.08,11
299,690714.181818182,981598.545454545,300,11.0045454545455,11
300,758260.363636364,984866.909090909,301,9.90363636363636,11
301,712503.272727273,983777.454545455,302,7.30181818181818,11
302,798570.181818182,992493.090909091,303,3168.65272727273,11
303,782228.363636364,980509.090909091,304,3167.59818181818,11
304,808375.272727273,989224.727272727,305,12.3945454545455,11
305,567605.818181818,982688,306,12.8645454545455,11
306,835611.636363636,988135.272727273,307,11.81,11
307,780049.454545455,982688,308,5.818,11
308,835611.636363636,984866.909090909,309,13.6754545454545,11
309,819269.818181818,991403.636363636,310,12.4118181818182,11
310,813822.545454545,983777.454545455,311,10.0954545454545,11
311,836701.090909091,984866.909090909,312,18.38,11
312,837790.545454545,985956.363636364,313,7.19272727272727,11
313,773512.727272727,985956.363636364,314,6.89181818181818,11
314,760439.272727273,983777.454545455,315,10.6336363636364,11
315,661298.909090909,987045.818181818,316,5.48181818181818,11
316,527296,980509.090909091,317,4.08090909090909,11
317,836701.090909091,987045.818181818,318,14.4545454545455,11
318,841058.909090909,976151.272727273,319,9.03545454545455,11
319,825806.545454545,987045.818181818,320,9.07727272727273,11
320,838880,983777.454545455,321,10.3736363636364,11
321,790944,989224.727272727,322,14.5445454545455,11
322,832343.272727273,980509.090909091,323,14.8364545454545,11
323,829074.909090909,990314.181818182,324,3174.25818181818,11
324,796391.272727273,983777.454545455,325,13.2427272727273,11
325,761528.727272727,983777.454545455,326,10.2781818181818,11
326,816001.454545455,983777.454545455,327,3212.80090909091,11
327,802928,988135.272727273,328,3218.65545454545,11
328,670014.545454545,987045.818181818,329,14.2090909090909,11
329,636241.454545455,991403.636363636,330,9.80363636363636,11
330,777870.545454545,985956.363636364,331,8.82181818181818,11
331,695072,918773.333333333,332,6.70166666666667,12
332,509320,977552,333,7.07071428571429,14
333,497336,980976,334,3.28714285714286,14
334,615464,986968,335,9.33071428571428,14
335,649704,986112,336,7.51,14
336,654840,987824,337,16.4685714285714,14
337,606904,982688,338,5.05571428571429,14
338,635152,986112,339,10.715,14
339,631728,984400,340,10.0235714285714,14
340,612040,986968,341,9.28,14
341,594064,985256,342,17.4921428571429,14
342,610328,983544,343,10.0971428571429,14
343,473368,987824,344,174.285714285714,14
344,544872.533333333,988280.533333333,345,2630.2,15
345,504925.866666667,982688,346,274.266666666667,15
346,492941.866666667,984285.866666667,347,394.986666666667,15
347,517708.8,985084.8,348,254.08,15
348,522502.4,985883.733333333,349,144.713333333333,15
349,538481.066666667,982688,350,751.213333333333,15
350,502529.066666667,987481.6,351,4.02,15
351,540078.933333333,985084.8,352,634.406666666667,15
352,507322.666666667,984285.866666667,353,753.104,15
353,530491.733333333,983486.933333333,354,265.166666666667,15
354,543274.666666667,982688,355,777.76,15
355,507322.666666667,980291.2,356,16.3733333333333,15
356,542475.733333333,981090.133333333,357,774.476,15
357,496137.6,988280.533333333,358,10.2733333333333,15
358,501730.133333333,984285.866666667,359,1025.51333333333,15
