"time1_size_e2_fn","rec_serv_e2_fn","env_car_e2_fn","time2_delay_e2_fn","delay_rtt_e2_fn","ncars_e2_fn"
356,500931.2,979492.266666667,371,340.666666666667,15
357,536084.266666667,977894.4,372,534.4,15
358,518507.733333333,985084.8,373,488.866666666667,15
359,480158.933333333,977095.466666667,374,402.266666666667,15
360,532089.6,976296.533333333,375,1011.66666666667,15
361,526497.066666667,986682.666666667,376,505.133333333333,15
362,516110.933333333,982688,377,384.066666666667,15
363,514513.066666667,986682.666666667,378,574.8,15
364,507322.666666667,983486.933333333,379,995.066666666667,15
365,521703.466666667,978693.333333333,380,848.866666666667,15
366,496936.533333333,985084.8,381,687.8,15
367,536883.2,982688,382,580.4,15
368,515312,985084.8,383,574.133333333333,15
369,504126.933333333,981889.066666667,384,572.333333333333,15
370,485751.466666667,986682.666666667,385,702.466666666667,15
371,533687.466666667,983486.933333333,386,924.066666666667,15
372,530491.733333333,981090.133333333,387,725.6,15
373,559253.333333333,986682.666666667,388,700.4,15
374,514513.066666667,981889.066666667,389,498.2,15
375,494539.733333333,983486.933333333,390,399.333333333333,15
376,504126.933333333,982688,391,614.2,15
377,505724.8,985883.733333333,392,830.933333333333,15
378,516110.933333333,982688,393,816.8,15
379,522502.4,981889.066666667,394,1066.13333333333,15
380,489746.133333333,980291.2,395,590.6,15
381,496936.533333333,976296.533333333,396,606.466666666667,15
382,589612.8,985883.733333333,397,797.2,15
383,575232,973100.8,398,934.733333333333,15
384,519306.666666667,982688,399,828.866666666667,15
385,518507.733333333,980291.2,400,713.133333333333,15
386,540877.866666667,988280.533333333,401,609.666666666667,15
387,518507.733333333,986682.666666667,402,641.333333333333,15
388,534486.4,987481.6,403,1186.6,15
389,528094.933333333,987481.6,404,609.266666666667,15
390,552062.933333333,980291.2,405,599.933333333333,15
391,507322.666666667,986682.666666667,406,1051.53333333333,15
392,476963.2,978693.333333333,407,454.6,15
393,543274.666666667,983486.933333333,408,155.2,15
394,518507.733333333,985084.8,409,457.333333333333,15
395,513714.133333333,989079.466666667,410,451.666666666667,15
396,492142.933333333,985084.8,411,540.8,15
397,544872.533333333,987481.6,412,785.333333333333,15
398,532089.6,982688,413,254.333333333333,15
399,529692.8,989079.466666667,414,337.133333333333,15
400,507322.666666667,987481.6,415,302.466666666667,15
401,521703.466666667,986682.666666667,416,446.533333333333,15
402,536883.2,990677.333333333,417,638.4,15
403,512116.266666667,978693.333333333,418,285.866666666667,15
404,524899.2,989079.466666667,419,690.066666666667,15
405,510518.4,986682.666666667,420,153.066666666667,15
406,504126.933333333,974698.666666667,421,30.4,15
407,512116.266666667,983486.933333333,422,954.866666666667,15
408,528094.933333333,985084.8,423,1065.6,15
409,486550.4,983486.933333333,424,619.333333333333,15
410,519306.666666667,986682.666666667,425,185.533333333333,15
411,533687.466666667,981090.133333333,426,1233.33333333333,15
412,521703.466666667,983486.933333333,427,633.2,15
413,522502.4,982688,428,938.933333333333,15
414,520105.6,985084.8,429,154.8,15
415,522502.4,977095.466666667,430,452.2,15
416,533687.466666667,979492.266666667,431,154,15
417,520105.6,982688,432,901,15
418,514513.066666667,983486.933333333,433,1228.73333333333,15
419,518507.733333333,981889.066666667,434,1274.2,15
420,514513.066666667,988280.533333333,435,456.733333333333,15
421,503328,981090.133333333,436,771.266666666667,15
422,494539.733333333,981889.066666667,437,956.266666666667,15
423,527296,985084.8,438,455.4,15
424,517708.8,986682.666666667,439,154.866666666667,15
425,491344,984285.866666667,440,152.133333333333,15
426,518507.733333333,983486.933333333,441,245.866666666667,15
427,527296,980291.2,442,192.6,15
428,484952.533333333,980291.2,443,275.466666666667,15
429,487349.333333333,985883.733333333,444,245.913333333333,15
430,536084.266666667,985883.733333333,445,168.6,15
431,539280,982688,446,45.2,15
432,533687.466666667,980291.2,447,322.866666666667,15
433,526497.066666667,983486.933333333,448,674.933333333333,15
434,511317.333333333,984285.866666667,449,304.2,15
435,541676.8,984285.866666667,450,669.866666666667,15
436,560052.266666667,985084.8,451,749.333333333333,15
437,577628.8,985883.733333333,452,1052.4,15
438,533687.466666667,986682.666666667,453,628.666666666667,15
439,497735.466666667,981889.066666667,454,909.866666666667,15
440,485751.466666667,983486.933333333,455,828.2,15
441,506523.733333333,983486.933333333,456,253.533333333333,15
442,508121.6,986682.666666667,457,523.733333333333,15
443,499333.333333333,985084.8,458,929.266666666667,15
444,461783.466666667,983486.933333333,459,997.8,15
445,452196.266666667,981889.066666667,460,762,15
446,507322.666666667,981889.066666667,461,1050.73333333333,15
447,512116.266666667,977894.4,462,774.466666666667,15
448,528094.933333333,989079.466666667,463,1082.66666666667,15
449,494539.733333333,980291.2,464,1427,15
450,523301.333333333,983486.933333333,465,765.4,15
