"time1_size_s_fs","rec_serv_s_fs","env_car_s_fs","time2_delay_s_fs","delay_rtt_s_fs","ncars_s_fs"
397,375498.666666667,493740.8,398,76.5,15
398,421037.866666667,496137.6,399,48.1293333333333,15
399,446603.733333333,494539.733333333,400,60.34,15
400,420238.933333333,496936.533333333,401,123.553333333333,15
401,377895.466666667,494539.733333333,402,37.704,15
402,425032.533333333,497735.466666667,403,49.716,15
403,413048.533333333,497735.466666667,404,22.4026666666667,15
404,405858.133333333,495338.666666667,405,19.5566666666667,15
405,409053.866666667,494539.733333333,406,38.0133333333333,15
406,389879.466666667,496936.533333333,407,8.40066666666667,15
407,269240.533333333,496137.6,408,10.6513333333333,15
408,325165.866666667,494539.733333333,409,21.9706666666667,15
409,442609.066666667,495338.666666667,410,15.7013333333333,15
410,409053.866666667,496137.6,411,5.82,15
411,403461.333333333,496137.6,412,29.4006666666667,15
412,426630.4,496137.6,413,15.8473333333333,15
413,401064.533333333,496936.533333333,414,21.8473333333333,15
414,305991.466666667,499333.333333333,415,9.20666666666667,15
415,413048.533333333,495338.666666667,416,96.7133333333333,15
416,370705.066666667,495338.666666667,417,159.933333333333,15
417,330758.4,496137.6,418,83.9466666666667,15
418,387482.666666667,496936.533333333,419,97.7866666666667,15
419,391477.333333333,496936.533333333,420,108.524666666667,15
420,390678.4,495338.666666667,421,10.6073333333333,15
421,402662.4,499333.333333333,422,177.733333333333,15
422,341144.533333333,496936.533333333,423,53.1,15
423,414646.4,496137.6,424,19.8906666666667,15
424,397069.866666667,496137.6,425,4.17133333333333,15
425,357922.133333333,496137.6,426,26.7866666666667,15
426,420238.933333333,494539.733333333,427,76.0266666666667,15
427,317975.466666667,498534.4,428,98.6293333333333,15
428,354726.4,494539.733333333,429,62.72,15
429,425032.533333333,498534.4,430,51.38,15
430,321970.133333333,494539.733333333,431,58.1166666666667,15
431,313181.866666667,495338.666666667,432,3.04866666666667,15
432,333155.2,494539.733333333,433,20.662,15
433,276430.933333333,496936.533333333,434,23.34,15
434,349133.866666667,495338.666666667,435,0.35,15
435,429826.133333333,495338.666666667,436,4.33666666666667,15
436,331557.333333333,497735.466666667,437,7.58,15
437,363514.666666667,496137.6,438,6.22666666666667,15
